project_name,functional_unit,metal,production_route,recycled_content_pct,electricity_kWh_per_FU,electricity_grid_region,fuel_MJ_per_FU,fuel_type,transport_mode,transport_distance_km,process_yield_pct,end_of_life_recycle_rate_pct,product_lifetime_years,region,data_confidence
Al-proj-1203,1 tonne,Aluminium,primary,69,6472,EU-Grid,997,oil,rail,1939,97,86,27,USA,predicted
Co-proj-1204,1 tonne,Copper,secondary,26,5636,US-Grid,374,biomass,rail,1168,91,89,17,India,predicted
Al-proj-1205,1 tonne,Aluminium,primary,35,8390,EU-Grid,674,natural_gas,truck,1258,90,65,16,USA,user
Al-proj-1206,1 tonne,Aluminium,primary,71,3232,IN-Grid,154,oil,ship,699,94,51,45,China,user
Al-proj-1207,1 tonne,Aluminium,secondary,75,516,US-Grid,431,biomass,ship,662,95,63,10,USA,predicted
Co-proj-1208,1 tonne,Copper,mix,25,3900,EU-Grid,301,biomass,rail,1926,92,95,26,USA,user
Co-proj-1209,1 tonne,Copper,mix,53,3492,US-Grid,377,biomass,ship,487,93,48,39,India,user
Co-proj-1210,1 tonne,Copper,mix,60,3093,CN-Grid,968,biomass,ship,1647,92,73,7,India,user
Co-proj-1211,1 tonne,Copper,secondary,63,2845,IN-Grid,1021,coal,rail,451,89,43,30,China,predicted
Al-proj-1212,1 tonne,Aluminium,primary,74,10684,IN-Grid,810,natural_gas,truck,481,96,88,12,USA,predicted
Al-proj-1213,1 tonne,Aluminium,secondary,23,4931,EU-Grid,1748,natural_gas,truck,693,87,44,29,India,predicted
Co-proj-1214,1 tonne,Copper,secondary,83,5020,EU-Grid,1085,biomass,truck,1701,89,94,16,China,extracted
Co-proj-1215,1 tonne,Copper,mix,39,4303,CN-Grid,1275,oil,ship,1800,88,56,18,Europe,extracted
Co-proj-1216,1 tonne,Copper,mix,27,6402,US-Grid,325,coal,rail,237,88,54,11,China,user
Co-proj-1217,1 tonne,Copper,primary,76,20767,IN-Grid,763,coal,ship,474,99,89,18,China,extracted
Al-proj-1218,1 tonne,Aluminium,mix,71,2792,CN-Grid,1147,coal,rail,1681,85,73,15,Europe,extracted
Co-proj-1219,1 tonne,Copper,primary,54,23607,CN-Grid,763,natural_gas,ship,1886,96,41,32,China,extracted
Co-proj-1220,1 tonne,Copper,primary,50,10188,EU-Grid,1312,oil,ship,1921,86,67,20,USA,extracted
Al-proj-1221,1 tonne,Aluminium,primary,44,4367,CN-Grid,274,oil,truck,74,90,37,23,USA,predicted
Co-proj-1222,1 tonne,Copper,primary,53,17964,US-Grid,613,biomass,truck,1552,92,89,33,China,extracted
Co-proj-1223,1 tonne,Copper,primary,48,10321,US-Grid,1087,coal,ship,930,88,83,39,Europe,extracted
Co-proj-1224,1 tonne,Copper,secondary,51,3970,IN-Grid,431,natural_gas,rail,1578,93,54,19,Europe,extracted
Al-proj-1225,1 tonne,Aluminium,secondary,77,3566,IN-Grid,1176,natural_gas,rail,1961,97,23,50,USA,user
Al-proj-1226,1 tonne,Aluminium,mix,70,1652,EU-Grid,1365,biomass,rail,355,96,37,7,USA,extracted
Al-proj-1227,1 tonne,Aluminium,secondary,58,2904,IN-Grid,198,coal,truck,1552,88,23,7,India,extracted
Co-proj-1228,1 tonne,Copper,primary,77,9733,IN-Grid,326,biomass,truck,671,99,74,30,India,user
Co-proj-1229,1 tonne,Copper,secondary,86,4234,US-Grid,500,biomass,ship,1155,91,23,13,USA,user
Al-proj-1230,1 tonne,Aluminium,mix,61,1243,CN-Grid,570,coal,ship,1772,87,46,37,USA,user
Al-proj-1231,1 tonne,Aluminium,secondary,76,4532,US-Grid,1622,oil,ship,1709,95,45,13,Europe,user
Al-proj-1232,1 tonne,Aluminium,primary,59,6778,IN-Grid,1940,biomass,rail,558,87,73,36,Europe,predicted
Co-proj-1233,1 tonne,Copper,primary,24,17580,IN-Grid,1040,oil,ship,1446,93,29,11,China,extracted
Al-proj-1234,1 tonne,Aluminium,secondary,34,1972,US-Grid,1432,biomass,ship,1764,87,68,25,China,extracted
Al-proj-1235,1 tonne,Aluminium,mix,62,3560,CN-Grid,593,biomass,ship,1073,91,90,49,India,predicted
Al-proj-1236,1 tonne,Aluminium,mix,70,1899,EU-Grid,1766,oil,ship,1822,88,56,46,USA,predicted
Co-proj-1237,1 tonne,Copper,mix,45,7235,IN-Grid,784,biomass,ship,334,92,79,25,India,predicted
Co-proj-1238,1 tonne,Copper,secondary,59,6826,CN-Grid,1900,coal,ship,1343,89,39,11,USA,predicted
Al-proj-1239,1 tonne,Aluminium,primary,66,6910,US-Grid,1276,natural_gas,ship,258,97,43,10,Europe,extracted
Al-proj-1240,1 tonne,Aluminium,primary,49,13880,IN-Grid,635,oil,ship,89,89,87,49,China,user
Al-proj-1241,1 tonne,Aluminium,secondary,61,3949,US-Grid,65,biomass,truck,1784,90,43,43,China,predicted
Co-proj-1242,1 tonne,Copper,primary,37,14398,IN-Grid,1203,natural_gas,truck,1450,85,41,37,USA,user
Al-proj-1243,1 tonne,Aluminium,secondary,74,3375,IN-Grid,539,biomass,ship,1030,89,47,15,USA,predicted
Al-proj-1244,1 tonne,Aluminium,mix,41,4788,CN-Grid,188,natural_gas,ship,1118,90,45,39,USA,predicted
Co-proj-1245,1 tonne,Copper,primary,69,21204,IN-Grid,1170,coal,ship,705,85,41,28,India,predicted
Al-proj-1246,1 tonne,Aluminium,mix,53,4548,US-Grid,548,coal,ship,965,93,24,14,India,user
Co-proj-1247,1 tonne,Copper,secondary,39,3383,EU-Grid,187,oil,rail,665,96,77,35,India,extracted
Co-proj-1248,1 tonne,Copper,mix,45,4266,CN-Grid,1594,biomass,rail,878,88,73,40,Europe,predicted
Co-proj-1249,1 tonne,Copper,mix,58,1408,IN-Grid,1256,oil,rail,1298,98,34,13,USA,user
Co-proj-1250,1 tonne,Copper,mix,49,3631,US-Grid,1855,natural_gas,truck,443,85,50,47,USA,extracted
Al-proj-1251,1 tonne,Aluminium,primary,69,5361,EU-Grid,1146,natural_gas,ship,726,86,41,22,India,user
Co-proj-1252,1 tonne,Copper,mix,58,4146,EU-Grid,1281,coal,ship,1142,89,60,28,China,user
Co-proj-1253,1 tonne,Copper,secondary,22,7491,CN-Grid,1704,coal,rail,616,93,46,44,China,predicted
Al-proj-1254,1 tonne,Aluminium,primary,72,10218,US-Grid,1021,oil,truck,341,90,65,34,USA,extracted
Al-proj-1255,1 tonne,Aluminium,secondary,72,2200,IN-Grid,402,oil,ship,337,94,83,16,USA,extracted
Co-proj-1256,1 tonne,Copper,primary,26,10370,IN-Grid,1072,natural_gas,ship,1187,97,74,46,China,user
Al-proj-1257,1 tonne,Aluminium,secondary,61,4854,IN-Grid,1894,natural_gas,truck,1720,87,44,30,USA,user
Co-proj-1258,1 tonne,Copper,primary,62,4131,IN-Grid,1687,natural_gas,truck,1342,98,93,49,Europe,user
Al-proj-1259,1 tonne,Aluminium,mix,62,847,IN-Grid,1888,natural_gas,rail,80,97,73,17,Europe,predicted
Co-proj-1260,1 tonne,Copper,secondary,54,3589,EU-Grid,1709,coal,rail,259,93,95,7,China,extracted
Co-proj-1261,1 tonne,Copper,mix,23,7978,CN-Grid,1685,natural_gas,rail,1180,95,31,37,China,user
Co-proj-1262,1 tonne,Copper,primary,85,21176,US-Grid,1429,biomass,rail,381,98,36,29,USA,user
Al-proj-1263,1 tonne,Aluminium,secondary,23,3982,IN-Grid,559,oil,truck,1665,91,22,36,India,user
Al-proj-1264,1 tonne,Aluminium,mix,23,1452,IN-Grid,922,oil,rail,1754,86,35,27,USA,predicted
Al-proj-1265,1 tonne,Aluminium,primary,29,10852,CN-Grid,1425,natural_gas,ship,382,87,39,22,USA,predicted
Co-proj-1266,1 tonne,Copper,primary,78,22420,IN-Grid,1412,biomass,truck,241,93,20,26,China,extracted
Co-proj-1267,1 tonne,Copper,secondary,79,4726,IN-Grid,285,coal,truck,1861,92,62,32,USA,extracted
Co-proj-1268,1 tonne,Copper,primary,47,5477,IN-Grid,288,natural_gas,rail,1486,86,20,8,Europe,predicted
Co-proj-1269,1 tonne,Copper,mix,30,7623,US-Grid,1841,coal,ship,1761,89,41,37,China,predicted
Co-proj-1270,1 tonne,Copper,secondary,90,3990,EU-Grid,1106,oil,ship,1320,93,89,33,China,extracted
Co-proj-1271,1 tonne,Copper,primary,27,16704,CN-Grid,1234,oil,rail,1373,91,90,35,China,user
Co-proj-1272,1 tonne,Copper,secondary,77,6264,CN-Grid,435,oil,rail,1851,98,44,34,China,user
Al-proj-1273,1 tonne,Aluminium,primary,40,3346,CN-Grid,755,coal,rail,1144,95,59,45,China,extracted
Co-proj-1274,1 tonne,Copper,secondary,85,3807,IN-Grid,742,natural_gas,ship,816,99,87,27,India,predicted
Co-proj-1275,1 tonne,Copper,primary,80,24074,US-Grid,994,coal,rail,822,98,30,18,China,extracted
Co-proj-1276,1 tonne,Copper,secondary,58,3637,US-Grid,992,natural_gas,rail,1562,87,54,43,China,extracted
Co-proj-1277,1 tonne,Copper,primary,20,21194,EU-Grid,1313,natural_gas,truck,106,94,61,42,Europe,predicted
Co-proj-1278,1 tonne,Copper,secondary,87,3210,US-Grid,276,biomass,rail,1286,85,53,50,Europe,extracted
Co-proj-1279,1 tonne,Copper,mix,35,7946,IN-Grid,794,natural_gas,ship,1149,90,44,37,Europe,predicted
Co-proj-1280,1 tonne,Copper,primary,44,15431,US-Grid,345,oil,ship,1018,94,25,38,China,extracted
Al-proj-1281,1 tonne,Aluminium,secondary,84,664,EU-Grid,1355,coal,truck,1950,86,94,36,USA,predicted
Al-proj-1282,1 tonne,Aluminium,secondary,58,4700,IN-Grid,791,oil,truck,1810,93,31,21,USA,extracted
Al-proj-1283,1 tonne,Aluminium,secondary,40,2503,CN-Grid,670,natural_gas,truck,215,91,63,48,India,user
Co-proj-1284,1 tonne,Copper,secondary,57,1302,EU-Grid,709,oil,rail,925,94,43,16,India,user
Co-proj-1285,1 tonne,Copper,secondary,88,2244,US-Grid,1246,coal,rail,1928,96,41,28,USA,user
Co-proj-1286,1 tonne,Copper,mix,87,7882,US-Grid,864,biomass,rail,264,89,53,27,India,extracted
Al-proj-1287,1 tonne,Aluminium,secondary,58,2620,IN-Grid,618,coal,truck,1205,85,57,19,India,extracted
Al-proj-1288,1 tonne,Aluminium,mix,21,3506,EU-Grid,611,natural_gas,truck,1016,85,39,9,USA,user
Co-proj-1289,1 tonne,Copper,mix,85,4703,EU-Grid,1749,coal,rail,406,97,22,19,Europe,extracted
Co-proj-1290,1 tonne,Copper,mix,83,4936,EU-Grid,1638,natural_gas,rail,873,96,68,26,India,user
Co-proj-1291,1 tonne,Copper,primary,38,10979,CN-Grid,1320,biomass,ship,124,89,67,44,USA,user
Al-proj-1292,1 tonne,Aluminium,primary,23,9923,US-Grid,213,biomass,ship,451,98,52,26,India,predicted
Co-proj-1293,1 tonne,Copper,primary,36,16332,CN-Grid,1841,coal,truck,842,89,39,36,USA,user
Co-proj-1294,1 tonne,Copper,mix,55,7094,US-Grid,54,oil,ship,1506,93,28,36,India,extracted
Co-proj-1295,1 tonne,Copper,mix,39,3847,US-Grid,1217,coal,ship,1329,88,44,18,Europe,predicted
Al-proj-1296,1 tonne,Aluminium,secondary,71,4656,IN-Grid,1437,biomass,rail,497,90,69,8,USA,extracted
Co-proj-1297,1 tonne,Copper,primary,24,5930,IN-Grid,205,oil,truck,1049,94,88,30,Europe,user
Co-proj-1298,1 tonne,Copper,mix,45,6964,EU-Grid,1090,biomass,truck,300,95,37,39,China,user
Al-proj-1299,1 tonne,Aluminium,mix,48,2329,EU-Grid,1631,oil,ship,768,95,90,45,China,extracted
Al-proj-1300,1 tonne,Aluminium,secondary,90,3892,CN-Grid,955,oil,rail,1035,97,44,25,India,extracted
Al-proj-1301,1 tonne,Aluminium,mix,90,3333,EU-Grid,1972,coal,ship,1468,85,37,49,India,extracted
Co-proj-1302,1 tonne,Copper,mix,55,3372,CN-Grid,873,coal,ship,1229,99,38,50,India,user
Al-proj-1303,1 tonne,Aluminium,mix,80,1659,CN-Grid,165,natural_gas,rail,1713,98,44,31,USA,predicted
Al-proj-1304,1 tonne,Aluminium,mix,46,2772,US-Grid,1674,natural_gas,ship,1557,93,21,46,India,user
Al-proj-1305,1 tonne,Aluminium,secondary,69,2729,US-Grid,1124,natural_gas,ship,939,85,35,45,India,extracted
Co-proj-1306,1 tonne,Copper,secondary,82,2032,IN-Grid,1659,coal,truck,1688,88,30,20,USA,user
Co-proj-1307,1 tonne,Copper,primary,48,9840,CN-Grid,444,coal,truck,1238,95,56,18,China,user
Co-proj-1308,1 tonne,Copper,secondary,23,5873,IN-Grid,1514,biomass,rail,1938,98,68,13,USA,predicted
Al-proj-1309,1 tonne,Aluminium,mix,71,2203,IN-Grid,723,oil,truck,1445,97,31,29,Europe,user
Co-proj-1310,1 tonne,Copper,mix,34,1969,IN-Grid,1962,natural_gas,rail,1922,96,51,39,China,user
Al-proj-1311,1 tonne,Aluminium,secondary,40,2216,CN-Grid,1363,oil,rail,536,92,40,24,Europe,user
Co-proj-1312,1 tonne,Copper,mix,87,7599,CN-Grid,1161,oil,truck,1926,94,27,30,China,user
Co-proj-1313,1 tonne,Copper,secondary,51,3198,EU-Grid,1284,biomass,truck,1883,97,43,24,India,predicted
Al-proj-1314,1 tonne,Aluminium,primary,88,11142,US-Grid,1733,coal,ship,94,93,49,9,India,predicted
Al-proj-1315,1 tonne,Aluminium,secondary,34,2860,IN-Grid,1000,biomass,ship,1068,92,42,41,Europe,user
Co-proj-1316,1 tonne,Copper,mix,47,4882,EU-Grid,1769,coal,truck,1234,92,35,13,Europe,predicted
Al-proj-1317,1 tonne,Aluminium,mix,37,4122,CN-Grid,239,coal,rail,1254,86,42,11,China,user
Al-proj-1318,1 tonne,Aluminium,primary,63,4330,CN-Grid,737,coal,truck,441,88,89,17,USA,user
Co-proj-1319,1 tonne,Copper,secondary,32,1067,US-Grid,1439,oil,truck,325,90,20,47,Europe,predicted
Al-proj-1320,1 tonne,Aluminium,mix,56,3466,IN-Grid,1480,oil,rail,1234,85,37,45,China,user
Co-proj-1321,1 tonne,Copper,secondary,34,4246,CN-Grid,298,oil,rail,1360,97,63,15,India,user
Al-proj-1322,1 tonne,Aluminium,primary,48,10084,IN-Grid,283,biomass,rail,762,89,93,31,USA,predicted
Al-proj-1323,1 tonne,Aluminium,primary,86,6674,US-Grid,1165,natural_gas,rail,671,87,61,44,Europe,user
Co-proj-1324,1 tonne,Copper,mix,48,3214,US-Grid,1741,coal,rail,1041,96,70,49,Europe,predicted
Al-proj-1325,1 tonne,Aluminium,primary,64,7733,EU-Grid,379,natural_gas,ship,738,86,81,43,India,extracted
Co-proj-1326,1 tonne,Copper,secondary,62,6614,CN-Grid,302,biomass,ship,1750,87,59,31,USA,user
Al-proj-1327,1 tonne,Aluminium,primary,89,10998,CN-Grid,1686,natural_gas,ship,1651,89,92,23,USA,predicted
Al-proj-1328,1 tonne,Aluminium,mix,47,743,EU-Grid,207,oil,ship,808,99,53,13,China,user
Al-proj-1329,1 tonne,Aluminium,primary,37,2553,EU-Grid,1895,biomass,truck,1785,90,54,32,USA,predicted
Al-proj-1330,1 tonne,Aluminium,primary,56,12872,IN-Grid,60,natural_gas,ship,1289,91,85,45,China,predicted
Co-proj-1331,1 tonne,Copper,secondary,75,4143,EU-Grid,1079,coal,ship,1662,91,61,25,China,extracted
Al-proj-1332,1 tonne,Aluminium,primary,21,6741,EU-Grid,919,coal,ship,1984,88,51,10,India,predicted
Co-proj-1333,1 tonne,Copper,primary,65,10009,IN-Grid,138,coal,ship,439,85,49,27,USA,user
Co-proj-1334,1 tonne,Copper,mix,79,1836,IN-Grid,1825,oil,ship,1560,97,35,28,Europe,predicted
Co-proj-1335,1 tonne,Copper,primary,73,20092,CN-Grid,407,oil,rail,1233,92,57,26,USA,predicted
Al-proj-1336,1 tonne,Aluminium,secondary,25,3799,US-Grid,1730,oil,rail,1574,96,26,25,India,extracted
Al-proj-1337,1 tonne,Aluminium,primary,28,10800,CN-Grid,861,oil,rail,1404,88,50,43,China,predicted
Co-proj-1338,1 tonne,Copper,secondary,37,3253,US-Grid,1836,oil,truck,1719,91,26,9,India,extracted
Al-proj-1339,1 tonne,Aluminium,secondary,62,2165,CN-Grid,1711,biomass,ship,109,96,47,13,China,predicted
Co-proj-1340,1 tonne,Copper,primary,71,15593,US-Grid,1680,oil,rail,1004,97,68,43,USA,predicted
Al-proj-1341,1 tonne,Aluminium,primary,68,2299,US-Grid,1318,biomass,ship,1687,94,92,7,India,predicted
Co-proj-1342,1 tonne,Copper,mix,79,6322,EU-Grid,1867,natural_gas,ship,262,95,84,14,India,extracted
Al-proj-1343,1 tonne,Aluminium,mix,61,2156,CN-Grid,899,coal,truck,1999,94,70,32,Europe,predicted
Co-proj-1344,1 tonne,Copper,mix,87,6805,EU-Grid,95,biomass,ship,532,94,59,49,USA,extracted
Co-proj-1345,1 tonne,Copper,mix,28,1439,IN-Grid,1258,oil,ship,358,94,91,45,Europe,predicted
Co-proj-1346,1 tonne,Copper,secondary,73,7055,IN-Grid,1630,natural_gas,truck,1093,88,27,20,Europe,extracted
Al-proj-1347,1 tonne,Aluminium,secondary,77,4902,US-Grid,323,biomass,rail,74,93,21,12,India,predicted
Co-proj-1348,1 tonne,Copper,primary,88,4614,US-Grid,156,oil,truck,1093,91,54,32,USA,user
Co-proj-1349,1 tonne,Copper,mix,43,5077,IN-Grid,1712,coal,ship,1241,88,63,9,China,extracted
Co-proj-1350,1 tonne,Copper,primary,66,8275,EU-Grid,615,natural_gas,truck,644,92,92,25,India,user
Co-proj-1351,1 tonne,Copper,secondary,60,2448,IN-Grid,1285,natural_gas,truck,1006,91,94,24,Europe,user
Al-proj-1352,1 tonne,Aluminium,secondary,55,2930,US-Grid,1571,biomass,ship,969,89,90,7,Europe,extracted
Co-proj-1353,1 tonne,Copper,mix,80,4407,US-Grid,639,oil,truck,1774,87,50,49,India,predicted
Co-proj-1354,1 tonne,Copper,secondary,69,2387,US-Grid,370,oil,truck,1306,89,32,32,Europe,extracted
Al-proj-1355,1 tonne,Aluminium,mix,33,1181,EU-Grid,1448,oil,truck,990,88,51,6,USA,predicted
Co-proj-1356,1 tonne,Copper,mix,27,7391,EU-Grid,1241,natural_gas,truck,983,91,66,26,USA,extracted
Co-proj-1357,1 tonne,Copper,primary,27,15475,US-Grid,1895,coal,ship,932,89,78,40,Europe,predicted
Co-proj-1358,1 tonne,Copper,primary,51,10837,US-Grid,658,biomass,truck,83,88,24,5,India,extracted
Co-proj-1359,1 tonne,Copper,secondary,73,4967,EU-Grid,138,natural_gas,ship,1343,92,57,46,China,predicted
Co-proj-1360,1 tonne,Copper,secondary,82,5766,IN-Grid,480,biomass,truck,144,89,49,33,USA,user
Al-proj-1361,1 tonne,Aluminium,primary,49,3529,IN-Grid,1360,biomass,rail,216,92,32,5,Europe,extracted
Co-proj-1362,1 tonne,Copper,secondary,46,1421,CN-Grid,819,oil,ship,183,99,86,18,India,user
Co-proj-1363,1 tonne,Copper,mix,81,1451,IN-Grid,219,oil,ship,1425,93,94,43,USA,predicted
Co-proj-1364,1 tonne,Copper,primary,75,7533,CN-Grid,211,natural_gas,ship,1121,90,89,9,China,predicted
Co-proj-1365,1 tonne,Copper,mix,47,3685,US-Grid,1788,biomass,ship,828,99,85,46,India,user
Al-proj-1366,1 tonne,Aluminium,primary,46,6590,EU-Grid,170,biomass,truck,306,86,77,24,USA,predicted
Al-proj-1367,1 tonne,Aluminium,primary,32,13674,US-Grid,455,biomass,rail,285,93,29,48,Europe,extracted
Co-proj-1368,1 tonne,Copper,secondary,80,5480,IN-Grid,785,oil,ship,1788,88,79,37,Europe,predicted
Al-proj-1369,1 tonne,Aluminium,primary,49,7780,US-Grid,1275,biomass,rail,985,86,39,49,USA,user
Co-proj-1370,1 tonne,Copper,primary,52,4658,EU-Grid,1588,oil,rail,657,93,67,45,USA,user
Co-proj-1371,1 tonne,Copper,secondary,50,3076,EU-Grid,551,biomass,ship,1307,92,68,43,China,extracted
Co-proj-1372,1 tonne,Copper,primary,45,15269,CN-Grid,59,coal,truck,1571,99,78,33,Europe,predicted
Al-proj-1373,1 tonne,Aluminium,primary,85,7816,IN-Grid,616,biomass,ship,195,89,80,48,Europe,extracted
Al-proj-1374,1 tonne,Aluminium,primary,22,6555,US-Grid,571,oil,truck,1287,89,89,39,USA,predicted
Al-proj-1375,1 tonne,Aluminium,secondary,84,3658,US-Grid,1768,natural_gas,ship,1782,92,31,7,Europe,user
Al-proj-1376,1 tonne,Aluminium,secondary,44,1033,IN-Grid,338,biomass,ship,359,90,34,7,USA,extracted
Al-proj-1377,1 tonne,Aluminium,primary,73,7828,US-Grid,1646,natural_gas,rail,651,94,56,15,USA,extracted
Al-proj-1378,1 tonne,Aluminium,secondary,80,2681,CN-Grid,586,coal,ship,1562,92,62,13,Europe,user
Co-proj-1379,1 tonne,Copper,secondary,58,5499,EU-Grid,646,coal,rail,788,86,43,48,USA,user
Al-proj-1380,1 tonne,Aluminium,secondary,39,1006,IN-Grid,1273,natural_gas,truck,1483,97,46,26,India,predicted
Al-proj-1381,1 tonne,Aluminium,primary,53,5409,IN-Grid,453,oil,ship,218,95,47,45,Europe,predicted
Al-proj-1382,1 tonne,Aluminium,secondary,84,4506,IN-Grid,589,biomass,rail,1146,90,89,43,USA,extracted
Al-proj-1383,1 tonne,Aluminium,mix,33,4807,IN-Grid,1740,biomass,ship,1596,99,74,43,India,predicted
Co-proj-1384,1 tonne,Copper,mix,54,938,CN-Grid,277,coal,rail,902,85,83,25,USA,predicted
Al-proj-1385,1 tonne,Aluminium,mix,54,3338,IN-Grid,1032,oil,ship,921,99,82,18,Europe,extracted
Co-proj-1386,1 tonne,Copper,mix,71,2250,IN-Grid,117,biomass,ship,1089,86,89,49,USA,user
Al-proj-1387,1 tonne,Aluminium,primary,84,9499,EU-Grid,786,coal,ship,1807,89,31,46,China,user
Al-proj-1388,1 tonne,Aluminium,primary,25,13349,EU-Grid,586,coal,rail,1035,97,39,7,India,predicted
Co-proj-1389,1 tonne,Copper,secondary,68,2082,US-Grid,1486,biomass,truck,1844,86,72,43,China,predicted
Al-proj-1390,1 tonne,Aluminium,secondary,49,3810,IN-Grid,1905,coal,rail,703,95,32,19,USA,predicted
Co-proj-1391,1 tonne,Copper,mix,75,3927,IN-Grid,1922,biomass,rail,1560,96,61,37,India,user
Co-proj-1392,1 tonne,Copper,primary,36,16844,IN-Grid,367,oil,truck,1735,91,61,31,China,extracted
Co-proj-1393,1 tonne,Copper,mix,69,6299,CN-Grid,1425,coal,ship,1269,96,94,39,China,user
Co-proj-1394,1 tonne,Copper,primary,43,20763,EU-Grid,1179,natural_gas,ship,418,97,30,7,USA,extracted
Al-proj-1395,1 tonne,Aluminium,mix,56,2432,EU-Grid,631,oil,truck,183,97,85,20,India,user
Co-proj-1396,1 tonne,Copper,primary,45,11916,IN-Grid,1592,biomass,ship,707,92,94,19,Europe,extracted
Al-proj-1397,1 tonne,Aluminium,mix,67,2010,EU-Grid,1346,natural_gas,truck,107,89,37,13,China,user
Al-proj-1398,1 tonne,Aluminium,mix,57,645,IN-Grid,242,oil,rail,1983,89,52,37,Europe,extracted
Al-proj-1399,1 tonne,Aluminium,secondary,59,3695,IN-Grid,840,biomass,truck,1641,86,75,27,Europe,extracted
Co-proj-1400,1 tonne,Copper,mix,53,1620,CN-Grid,1509,oil,ship,1553,85,41,30,Europe,predicted
Al-proj-1401,1 tonne,Aluminium,mix,81,584,CN-Grid,180,biomass,ship,521,95,30,40,Europe,user
Co-proj-1402,1 tonne,Copper,secondary,42,2863,CN-Grid,1386,oil,ship,1651,93,51,44,USA,extracted
Al-proj-1403,1 tonne,Aluminium,mix,24,1852,CN-Grid,1801,oil,rail,1178,98,54,36,Europe,extracted
Al-proj-1404,1 tonne,Aluminium,primary,90,8367,IN-Grid,916,oil,rail,594,94,86,49,China,user
Al-proj-1405,1 tonne,Aluminium,secondary,32,918,CN-Grid,490,natural_gas,rail,520,97,34,8,USA,predicted
Al-proj-1406,1 tonne,Aluminium,primary,47,9638,CN-Grid,1473,coal,ship,124,92,80,50,India,predicted
Al-proj-1407,1 tonne,Aluminium,mix,54,796,US-Grid,1726,biomass,truck,515,92,38,46,China,user
Co-proj-1408,1 tonne,Copper,secondary,82,2454,CN-Grid,167,coal,truck,361,86,21,48,China,user
Al-proj-1409,1 tonne,Aluminium,mix,69,1196,IN-Grid,461,biomass,truck,962,92,24,31,India,user
Co-proj-1410,1 tonne,Copper,secondary,66,5431,US-Grid,1052,natural_gas,ship,1771,97,94,30,India,user
Al-proj-1411,1 tonne,Aluminium,mix,71,1020,EU-Grid,561,coal,truck,1192,85,43,16,India,predicted
Co-proj-1412,1 tonne,Copper,primary,58,5154,EU-Grid,966,natural_gas,truck,757,98,80,7,India,extracted
Al-proj-1413,1 tonne,Aluminium,mix,68,694,CN-Grid,1029,coal,truck,345,97,54,34,China,predicted
Co-proj-1414,1 tonne,Copper,primary,66,13887,US-Grid,806,oil,rail,1934,92,90,37,India,user
Al-proj-1415,1 tonne,Aluminium,secondary,80,2997,US-Grid,723,natural_gas,rail,593,93,36,49,India,predicted
Co-proj-1416,1 tonne,Copper,primary,61,5173,EU-Grid,631,biomass,truck,1195,85,75,25,USA,user
Co-proj-1417,1 tonne,Copper,secondary,33,3150,EU-Grid,194,oil,ship,90,85,51,28,China,extracted
Co-proj-1418,1 tonne,Copper,secondary,90,7580,EU-Grid,1454,natural_gas,ship,815,94,78,18,Europe,predicted
Al-proj-1419,1 tonne,Aluminium,secondary,54,2765,CN-Grid,1328,oil,ship,919,92,88,13,Europe,extracted
Co-proj-1420,1 tonne,Copper,mix,53,2191,EU-Grid,234,coal,ship,1708,85,89,9,Europe,extracted
Co-proj-1421,1 tonne,Copper,mix,20,7654,IN-Grid,891,oil,ship,1801,95,25,41,Europe,user
Co-proj-1422,1 tonne,Copper,primary,61,7853,EU-Grid,1264,oil,rail,77,92,88,38,India,extracted
Co-proj-1423,1 tonne,Copper,secondary,63,7711,IN-Grid,470,biomass,truck,1899,85,87,28,China,predicted
Al-proj-1424,1 tonne,Aluminium,mix,37,1876,CN-Grid,677,oil,truck,1721,85,81,41,Europe,user
Co-proj-1425,1 tonne,Copper,primary,25,3684,IN-Grid,862,oil,truck,1944,85,83,45,Europe,extracted
Al-proj-1426,1 tonne,Aluminium,secondary,71,4285,EU-Grid,217,oil,ship,827,87,48,24,India,extracted
Co-proj-1427,1 tonne,Copper,primary,38,20851,CN-Grid,279,coal,truck,1126,97,22,32,India,extracted
Co-proj-1428,1 tonne,Copper,mix,49,4149,EU-Grid,445,biomass,ship,905,91,77,23,Europe,predicted
Al-proj-1429,1 tonne,Aluminium,mix,55,1835,CN-Grid,1823,biomass,ship,576,89,65,37,USA,user
Al-proj-1430,1 tonne,Aluminium,primary,89,11212,CN-Grid,1880,coal,rail,1076,86,69,36,India,user
Al-proj-1431,1 tonne,Aluminium,secondary,82,3440,CN-Grid,166,oil,truck,948,88,75,21,China,user
Co-proj-1432,1 tonne,Copper,secondary,29,906,CN-Grid,304,coal,ship,1914,94,86,29,Europe,user
Al-proj-1433,1 tonne,Aluminium,secondary,88,1622,EU-Grid,1333,natural_gas,rail,791,92,37,17,Europe,extracted
Al-proj-1434,1 tonne,Aluminium,mix,24,3146,IN-Grid,236,oil,truck,963,92,58,37,USA,extracted
Al-proj-1435,1 tonne,Aluminium,secondary,60,1370,US-Grid,1153,oil,truck,1590,88,59,38,China,user
Co-proj-1436,1 tonne,Copper,secondary,78,6254,EU-Grid,1088,natural_gas,rail,63,97,86,46,China,extracted
Co-proj-1437,1 tonne,Copper,primary,29,11531,IN-Grid,667,biomass,truck,1614,88,63,50,Europe,predicted
